HoursStudied,ExamScore,Gender
2,75,Male
3,82,Female
4,88,Female
1,60,Male
5,90,Female
2,70,Male
3,85,Female
1.5,65,Female
4.5,95,Male
3.5,80,Male
2.5,78,Female
1,55,Male
3,88,Male
4,92,Female
5,97,Female
2.8,72,Female
1.2,50,Male
3.7,84,Female
4.2,91,Male
5.5,99,Female
1.8,68,Female
2.2,77,Male
3.9,89,Male
2.9,74,Female
4.1,93,Male
3,79,Male
2,68,Female
5,85,Female
4.5,91,Female
3.2,80,Male
1.5,57,Female
2.8,72,Male
3.6,81,Female
4.3,94,Male
1.9,62,Female
2.5,73,Male
4.6,96,Female
3.8,90,Male
2.3,76,Female
1.4,55,Male
5.2,99,Female
3.1,80,Male
2.7,78,Female
4.0,85,Female
1.1,53,Male
5.4,98,Male
2.4,67,Female
4.8,92,Female
3.3,82,Male
1.3,60,Female
4.4,88,Male
3.0,76,Female
2.6,72,Male
1.7,64,Female
5.1,95,Female
